25, 25
jauntlet.map.Floor, 0,750
jauntlet.map.Wall, 0,0
jauntlet.map.Wall, 1,0
jauntlet.map.Wall, 2,0
jauntlet.map.Wall, 3,0
jauntlet.map.Wall, 4,0
jauntlet.map.Wall, 5,0
jauntlet.map.Wall, 6,0
jauntlet.map.Wall, 7,0
jauntlet.map.Wall, 8,0
jauntlet.map.Wall, 9,0
jauntlet.map.Wall, 10,0
jauntlet.map.Wall, 11,0
jauntlet.map.Wall, 12,0
jauntlet.map.Wall, 13,0
jauntlet.map.Wall, 14,0
jauntlet.map.Wall, 15,0
jauntlet.map.Wall, 16,0
jauntlet.map.Wall, 17,0
jauntlet.map.Wall, 18,0
jauntlet.map.Wall, 19,0
jauntlet.map.Wall, 20,0
jauntlet.map.Wall, 21,0
jauntlet.map.Wall, 22,0
jauntlet.map.Wall, 23,0
jauntlet.map.Wall, 24,0
jauntlet.map.Wall, 0,1
jauntlet.map.Wall, 24,1
jauntlet.map.Wall, 0,2
jauntlet.map.Wall, 24,2
jauntlet.map.Wall, 0,3
jauntlet.items.Key, 8,3
jauntlet.map.Wall, 24,3
jauntlet.map.Wall, 0,4
jauntlet.map.Wall, 4,4
jauntlet.map.Wall, 5,4
jauntlet.map.Wall, 6,4
jauntlet.map.Wall, 7,4
jauntlet.map.Wall, 8,4
jauntlet.map.Wall, 9,4
jauntlet.map.Wall, 10,4
jauntlet.map.Wall, 11,4
jauntlet.map.Wall, 12,4
jauntlet.map.Wall, 13,4
jauntlet.map.Wall, 14,4
jauntlet.map.Wall, 15,4
jauntlet.map.Wall, 16,4
jauntlet.map.Wall, 17,4
jauntlet.map.Wall, 24,4
jauntlet.map.Wall, 0,5
jauntlet.map.Door, 4,5, true
jauntlet.items.Key, 8,5
jauntlet.map.Wall, 17,5
jauntlet.map.Wall, 24,5
jauntlet.map.Wall, 0,6
jauntlet.map.Wall, 4,6
jauntlet.map.Wall, 17,6
jauntlet.map.Wall, 24,6
jauntlet.map.Wall, 0,7
jauntlet.map.Wall, 4,7
jauntlet.characters.Spawner, 9,7
jauntlet.map.Wall, 17,7
jauntlet.map.Wall, 24,7
jauntlet.map.Wall, 0,8
jauntlet.map.Wall, 4,8
jauntlet.map.Wall, 17,8
jauntlet.map.Wall, 24,8
jauntlet.map.Wall, 0,9
jauntlet.map.Wall, 4,9
jauntlet.items.Food, 6,9, 10
jauntlet.items.Treasure, 14,9, 100
jauntlet.map.Wall, 17,9
jauntlet.map.Wall, 24,9
jauntlet.map.Wall, 0,10
jauntlet.map.Wall, 4,10
jauntlet.map.Wall, 17,10
jauntlet.map.Wall, 24,10
jauntlet.map.Wall, 0,11
jauntlet.map.Wall, 4,11
jauntlet.map.Wall, 17,11
jauntlet.map.Wall, 24,11
jauntlet.map.Wall, 0,12
jauntlet.map.Wall, 4,12
jauntlet.map.Wall, 5,12
jauntlet.map.Wall, 6,12
jauntlet.map.Wall, 7,12
jauntlet.map.Wall, 8,12
jauntlet.map.Wall, 9,12
jauntlet.map.Wall, 10,12
jauntlet.map.Wall, 11,12
jauntlet.map.Wall, 12,12
jauntlet.map.Wall, 13,12
jauntlet.map.Wall, 14,12
jauntlet.map.Door, 15,12, false
jauntlet.map.Wall, 16,12
jauntlet.map.Wall, 17,12
jauntlet.map.Wall, 24,12
jauntlet.map.Wall, 0,13
jauntlet.map.Wall, 24,13
jauntlet.map.Wall, 0,14
jauntlet.map.Wall, 24,14
jauntlet.map.Wall, 0,15
jauntlet.map.Wall, 24,15
jauntlet.map.Wall, 0,16
jauntlet.map.Wall, 24,16
jauntlet.map.Wall, 0,17
jauntlet.map.Wall, 24,17
jauntlet.map.Wall, 0,18
jauntlet.map.Wall, 24,18
jauntlet.map.Wall, 0,19
jauntlet.map.Wall, 24,19
jauntlet.map.Wall, 0,20
jauntlet.map.Wall, 24,20
jauntlet.map.Wall, 0,21
jauntlet.map.Wall, 24,21
jauntlet.map.Wall, 0,22
jauntlet.map.Wall, 24,22
jauntlet.map.Wall, 0,23
jauntlet.map.Exit, 1,23, nextLevel.txt
jauntlet.map.Wall, 24,23
jauntlet.map.Wall, 0,24
jauntlet.map.Wall, 1,24
jauntlet.map.Wall, 2,24
jauntlet.map.Wall, 3,24
jauntlet.map.Wall, 4,24
jauntlet.map.Wall, 5,24
jauntlet.map.Wall, 6,24
jauntlet.map.Wall, 7,24
jauntlet.map.Wall, 8,24
jauntlet.map.Wall, 9,24
jauntlet.map.Wall, 10,24
jauntlet.map.Wall, 11,24
jauntlet.map.Wall, 12,24
jauntlet.map.Wall, 13,24
jauntlet.map.Wall, 14,24
jauntlet.map.Wall, 15,24
jauntlet.map.Wall, 16,24
jauntlet.map.Wall, 17,24
jauntlet.map.Wall, 18,24
jauntlet.map.Wall, 19,24
jauntlet.map.Wall, 20,24
jauntlet.map.Wall, 21,24
jauntlet.map.Wall, 22,24
jauntlet.map.Wall, 23,24
jauntlet.map.Wall, 24,24
